,Unnamed: 0,EI,id,long,lat,Time
105,296,-0.9545454545454556,C0T960,121.425,23.6607,2010-01
43,46,-0.8279220779220782,C0A920,121.5653,25.2638,2010-02
105,296,-0.845867768595042,C0T960,121.425,23.6607,2010-03
83,255,-1.12603305785124,C0R280,120.8368,22.0761,2010-04
37,40,-1.0470779220779225,C0A650,121.7429,25.0027,2010-05
106,296,-0.7154220779220778,C0T960,121.425,23.6607,2010-07
31,34,-0.6818181818181821,C0A540,121.7459,24.8928,2010-12
118,128,-1.0537190082644632,C0F9A0,120.7511,24.1036,2016-10
49,51,-2.9951298701298708,C0A980,121.4697,25.1095,2017-03
47,49,-0.98305785123967,C0A950,121.9234,25.129,2017-07
74,78,-3.25,C0C480,121.3232,24.9924,2017-08
118,122,-1.2253246753246758,C0F0B0,120.7776,24.2761,2017-08
118,122,-1.0958677685950415,C0F0B0,120.7776,24.2761,2017-09
172,176,-1.704545454545455,C0I110,120.6882,23.7612,2017-09
172,176,-0.9772727272727268,C0I110,120.6882,23.7612,2017-10
73,78,-2.727272727272728,C0C480,121.3232,24.9924,2017-11
122,127,-0.712809917355372,C0F970,120.7223,24.1731,2017-11
171,176,-0.0010330578512396887,C0I110,120.6882,23.7612,2017-11
