,scientific_name,lat,long
14,pseudococcidae,24.06084,120.70022
15,tetranychus,24.06084,120.70022
54,tetranychus,23.97387,120.68056999999999
64,tetranychus,23.97387,120.68056999999999
65,tetranychus,23.97387,120.68056999999999
115,tetranychus,23.90212,120.69045
124,tetranychus,24.12649,120.71856000000001
136,tetranychus,24.14122,120.67098999999999
144,tetranychus,24.014839000000002,120.627672
158,tetranychus,23.64258,120.56188
159,tetranychus,23.64258,120.56188
164,tetranychus,25.04973,121.5768
174,pseudococcidae,23.305925,120.289897
176,pseudococcidae,22.62322,120.32431100000001
